STNAME,STATE,NAME OF THE STATE OR TERRITORY
B01,PKTCH,PREKINDERGARTEN TEACHERS
B02,KGTCH,KINDERGARTEN TEACHERS
B03,ELMTCH,ELEMENTARY TEACHERS
B04,SECTCH,SECONDARY TEACHERS
B05,UGTCH,TEACHERS OF UNGRADED CLASSES
B06,TOTTCH,TOTAL FTE OF TEACHERS
B07,AIDES,INSTRUCTIONAL AIDES
B08,CORSUP,INSTRUCTIONAL COORDINATORS & SUPERVISORS
C01,ELMGUI,ELEMENTARY GUIDANCE COUNSELORS/DIRECTORS
C02,SECGUI,SECONDARY GUIDANCE COUNSELORS/DIRECTORS
C03,TOTGUI,TOTAL GUIDANCE COUNSELORS/DIRECTORS
C04,LIBSPE,LIBRARIANS
C05,LIBSUP,LIBRARY SUPPORT STAFF
C06,LEAADM,LEA ADMINISTRATORS
C07,LEASUP,(LEA) ADMINISTRATIVE SUPPORT STAFF
C08,SCHADM,SCHOOL ADMINISTRATORS
C09,SCHSUP,SCHOOL ADMINISTRATIVE SUPPORT STAFF
C10,STUSUP,STUDENT SUPPORT SERVICES
C11,OTHSUP,ALL OTHER SUPPORT SERVICES STAFF
D01,PK,PREKINDERGARTEN STUDENTS
D02,KG,KINDERGARTEN STUDENTS
D03,G01,GRADE 1 STUDENTS
D04,G02,GRADE 2 STUDENTS
D05,G03,GRADE 3 STUDENTS
D06,G04,GRADE 4 STUDENTS
D07,G05,GRADE 5 STUDENTS
D08,G06,GRADE 6 STUDENTS
D09,G07,GRADE 7 STUDENTS
D10,G08,GRADE 8 STUDENTS
D11,G09,GRADE 9 STUDENTS
D12,G10,GRADE 10 STUDENTS
D13,G11,GRADE 11 STUDENTS
D14,G12,GRADE 12 STUDENTS
D15,UG,UNGRADED STUDENTS
D16,MEMBER,TOTAL STUDENTS
E01,REGDIP,REGULAR DIPLOMA H.S. COMPLETERS
E02,OTHDIP,OTHER DIPLOMA RECIPIENTS
E03,EQUIV,EQUIVALENCY RECIPIENTS
E04,OTHCOM,OTHER H.S. COMPLETERS
D01AMIN,AMPK,PREKINDERGARTEN STUDENTS – AM. INDIAN
D01ASIN,ASPK,PREKINDERGARTEN STUDENTS – ASIAN
D01HISP,HIPK,PREKINDERGARTEN STUDENTS – HISPANIC
D01BLK,BLPK,PREKINDERGARTEN STUDENTS – BLACK
D01WHT,WHPK,PREKINDERGARTEN STUDENTS – WHITE
D02AMIN,AMKG,KINDERGARTEN STUDENTS – AM. INDIAN
D02ASIN,ASKG,KINDERGARTEN STUDENTS – ASIAN
D02HISP,HIKG,KINDERGARTEN STUDENTS – HISPANIC
D02BLK,BLKG,KINDERGARTEN STUDENTS – BLACK
D02WHT,WHKG,KINDERGARTEN STUDENTS – WHITE
D03AMIN,AM01,GRADE 1 STUDENTS – AM. INDIAN
D03ASIN,AS01,GRADE 1 STUDENTS – ASIAN
D03HISP,HI01,GRADE 1 STUDENTS – HISPANIC
D03BLK,BL01,GRADE 1 STUDENTS – BLACK
D03WHT,WH01,GRADE 1 STUDENTS – WHITE
D04AMIN,AM02,GRADE 2 STUDENTS – AM. INDIAN
D04ASIN,AS02,GRADE 2 STUDENTS – ASIAN
D04HISP,HI02,GRADE 2 STUDENTS – HISPANIC
D04BLK,BL02,GRADE 2 STUDENTS – BLACK
D04WHT,WH02,GRADE 2 STUDENTS – WHITE
D05AMIN,AM03,GRADE 3 STUDENTS – AM. INDIAN
D05ASIN,AS03,GRADE 3 STUDENTS – ASIAN
D05HISP,HI03,GRADE 3 STUDENTS – HISPANIC
